received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2021-09-16T11:38:04.648391815Z	ardunio-uno-app	testt	1	35	-31	7.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:38:13.058628026Z	ardunio-uno-app	testt	1	36	-32	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:38:22.429728015Z	ardunio-uno-app	testt	1	37	-33	7.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:39:17.798470420Z	ardunio-uno-app	testt	1	44	-31	8.75	5	0.082176s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:39:26.158801043Z	ardunio-uno-app	testt	1	45	-32	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:40:35.126815475Z	ardunio-uno-app	testt	1	53	-33	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:40:43.510077719Z	ardunio-uno-app	testt	1	54	-31	9.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:41:09.637117993Z	ardunio-uno-app	testt	1	57	-33	10.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:41:17.996562366Z	ardunio-uno-app	testt	1	58	-34	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:41:26.369463585Z	ardunio-uno-app	testt	1	59	-31	8	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:43:08.830733220Z	ardunio-uno-app	testt	1	71	-35	10.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:43:18.200205680Z	ardunio-uno-app	testt	1	72	-35	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
